Palavras mais comuns,Frequencia Absoluta,Frequencia Relativa
vacina,81.0,0.017020382433284305
19,67.0,0.014078587938642572
covid,56.0,0.011767177978566926
2020,52.0,0.010926665265812145
uso,51.0,0.01071653708762345
vacinas,51.0,0.01071653708762345
4,45.0,0.00945576801849128
anvisa,45.0,0.00945576801849128
eficácia,43.0,0.00903551166211389
saúde,42.0,0.008825383483925194
emergencial,40.0,0.008405127127547804
2,39.0,0.008194998949359109
segurança,37.0,0.007774742592981719
1,34.0,0.007144358058415633
dados,30.0,0.006303845345660853
sobre,27.0,0.005673460811094768
nº,27.0,0.005673460811094768
autorização,26.0,0.005463332632906073
geral,24.0,0.005043076276528682
medicamentos,24.0,0.005043076276528682
contra,23.0,0.004832948098339987
instituto,23.0,0.004832948098339987
fiocruz,23.0,0.004832948098339987
produtos,23.0,0.004832948098339987
gerência,23.0,0.004832948098339987
ser,22.0,0.004622819920151292
3,20.0,0.004202563563773902
butantan,20.0,0.004202563563773902
fabricação,20.0,0.004202563563773902
qualidade,20.0,0.004202563563773902
pública,19.0,0.003992435385585207
pandemia,19.0,0.003992435385585207
brasil,19.0,0.003992435385585207
avaliação,19.0,0.003992435385585207
risco,18.0,0.003782307207396512
coronavírus,18.0,0.003782307207396512
informações,18.0,0.003782307207396512
sars,17.0,0.0035721790292078167
cov,17.0,0.0035721790292078167
diretoria,17.0,0.0035721790292078167
após,17.0,0.0035721790292078167
fase,17.0,0.0035721790292078167
5,16.0,0.0033620508510191216
práticas,16.0,0.0033620508510191216
emergência,16.0,0.0033620508510191216
boas,15.0,0.0031519226728304265
farmacovigilância,15.0,0.0031519226728304265
janeiro,15.0,0.0031519226728304265
2021,15.0,0.0031519226728304265
inspeção,15.0,0.0031519226728304265
plano,14.0,0.0029417944946417314
gerenciamento,14.0,0.0029417944946417314
clínicos,14.0,0.0029417944946417314
estudos,14.0,0.0029417944946417314
monitoramento,14.0,0.0029417944946417314
bem,13.0,0.0027316663164530363
sanitária,13.0,0.0027316663164530363
forma,13.0,0.0027316663164530363
perfil,13.0,0.0027316663164530363
ggfis,13.0,0.0027316663164530363
novo,12.0,0.002521538138264341
dezembro,12.0,0.002521538138264341
guia,12.0,0.002521538138264341
requisitos,12.0,0.002521538138264341
coronavac,12.0,0.002521538138264341
vírus,12.0,0.002521538138264341
ainda,12.0,0.002521538138264341
doença,12.0,0.002521538138264341
pode,12.0,0.002521538138264341
empresa,12.0,0.002521538138264341
caráter,11.0,0.002311409960075646
experimental,11.0,0.002311409960075646
análise,11.0,0.002311409960075646
importância,11.0,0.002311409960075646
infecção,11.0,0.002311409960075646
rdc,11.0,0.002311409960075646
sinovac,11.0,0.002311409960075646
ltd,11.0,0.002311409960075646
biológicos,11.0,0.002311409960075646
registro,11.0,0.002311409960075646
internacional,10.0,0.002101281781886951
considerando,10.0,0.002101281781886951
proteção,10.0,0.002101281781886951
oms,10.0,0.002101281781886951
42,10.0,0.002101281781886951
agência,10.0,0.002101281781886951
of,10.0,0.002101281781886951
profissionais,10.0,0.002101281781886951
dessa,10.0,0.002101281781886951
decisão,9.0,0.001891153603698256
n,9.0,0.001891153603698256
colegiada,9.0,0.001891153603698256
temporária,9.0,0.001891153603698256
submissão,9.0,0.001891153603698256
vigilância,9.0,0.001891153603698256
serum,9.0,0.001891153603698256
institute,9.0,0.001891153603698256
graves,9.0,0.001891153603698256
base,9.0,0.001891153603698256
assim,9.0,0.001891153603698256
realizada,9.0,0.001891153603698256
áreas,9.0,0.001891153603698256
chadox1,9.0,0.001891153603698256
técnicas,8.0,0.0016810254255095608
deliberação,8.0,0.0016810254255095608
nacional,8.0,0.0016810254255095608
444,8.0,0.0016810254255095608
quanto,8.0,0.0016810254255095608
processo,8.0,0.0016810254255095608
recombinante,8.0,0.0016810254255095608
meio,8.0,0.0016810254255095608
clínico,8.0,0.0016810254255095608
mundo,8.0,0.0016810254255095608
desenvolvimento,8.0,0.0016810254255095608
ensaios,8.0,0.0016810254255095608
vacinação,8.0,0.0016810254255095608
documentação,8.0,0.0016810254255095608
imunização,8.0,0.0016810254255095608
diretrizes,8.0,0.0016810254255095608
estabelecido,7.0,0.0014708972473208657
iii,7.0,0.0014708972473208657
ncov,7.0,0.0014708972473208657
fevereiro,7.0,0.0014708972473208657
casos,7.0,0.0014708972473208657
resolução,7.0,0.0014708972473208657
10,7.0,0.0014708972473208657
co,7.0,0.0014708972473208657
india,7.0,0.0014708972473208657
astrazeneca,7.0,0.0014708972473208657
medidas,7.0,0.0014708972473208657
todo,7.0,0.0014708972473208657
conhecimento,7.0,0.0014708972473208657
sistema,7.0,0.0014708972473208657
país,7.0,0.0014708972473208657
relação,7.0,0.0014708972473208657
sendo,7.0,0.0014708972473208657
ggmon,7.0,0.0014708972473208657
doses,7.0,0.0014708972473208657
covishield,7.0,0.0014708972473208657
bpf,7.0,0.0014708972473208657
parecer,7.0,0.0014708972473208657
cenário,6.0,0.0012607690691321706
15,6.0,0.0012607690691321706
18,6.0,0.0012607690691321706
enfrentamento,6.0,0.0012607690691321706
solicitação,6.0,0.0012607690691321706
contexto,6.0,0.0012607690691321706
prevenção,6.0,0.0012607690691321706
pvt,6.0,0.0012607690691321706
ações,6.0,0.0012607690691321706
durante,6.0,0.0012607690691321706
estratégias,6.0,0.0012607690691321706
países,6.0,0.0012607690691321706
deve,6.0,0.0012607690691321706
cada,6.0,0.0012607690691321706
participantes,6.0,0.0012607690691321706
empresas,6.0,0.0012607690691321706
produto,6.0,0.0012607690691321706
apresentadas,6.0,0.0012607690691321706
ggmed,6.0,0.0012607690691321706
01,6.0,0.0012607690691321706
momento,6.0,0.0012607690691321706
estudo,6.0,0.0012607690691321706
diretora,6.0,0.0012607690691321706
voto,6.0,0.0012607690691321706
relatório,5.0,0.0010506408909434755
13,5.0,0.0010506408909434755
14,5.0,0.0010506408909434755
16,5.0,0.0010506408909434755
população,5.0,0.0010506408909434755
conforme,5.0,0.0010506408909434755
mínimos,5.0,0.0010506408909434755
necessidade,5.0,0.0010506408909434755
processos,5.0,0.0010506408909434755
adsorvida,5.0,0.0010506408909434755
inativada,5.0,0.0010506408909434755
life,5.0,0.0010506408909434755
parceria,5.0,0.0010506408909434755
data,5.0,0.0010506408909434755
acesso,5.0,0.0010506408909434755
atual,5.0,0.0010506408909434755
riscos,5.0,0.0010506408909434755
partir,5.0,0.0010506408909434755
outras,5.0,0.0010506408909434755
entanto,5.0,0.0010506408909434755
importante,5.0,0.0010506408909434755
resposta,5.0,0.0010506408909434755
aceitável,5.0,0.0010506408909434755
disponíveis,5.0,0.0010506408909434755
podem,5.0,0.0010506408909434755
avaliar,5.0,0.0010506408909434755
devem,5.0,0.0010506408909434755
documentos,5.0,0.0010506408909434755
estabelecidos,5.0,0.0010506408909434755
capacidade,5.0,0.0010506408909434755
sujeitos,5.0,0.0010506408909434755
possível,5.0,0.0010506408909434755
todos,5.0,0.0010506408909434755
resultados,5.0,0.0010506408909434755
duas,5.0,0.0010506408909434755
equipe,5.0,0.0010506408909434755
apresentados,5.0,0.0010506408909434755
aprovação,5.0,0.0010506408909434755
produzida,5.0,0.0010506408909434755
primeira,5.0,0.0010506408909434755
oxford,5.0,0.0010506408909434755
parte,5.0,0.0010506408909434755
área,5.0,0.0010506408909434755
incertezas,5.0,0.0010506408909434755
gfarm,5.0,0.0010506408909434755
11,4.0,0.0008405127127547804
20,4.0,0.0008405127127547804
22,4.0,0.0008405127127547804
6,4.0,0.0008405127127547804
lei,4.0,0.0008405127127547804
declarou,4.0,0.0008405127127547804
2019,4.0,0.0008405127127547804
publicada,4.0,0.0008405127127547804
recomendações,4.0,0.0008405127127547804
brasileiro,4.0,0.0008405127127547804
neste,4.0,0.0008405127127547804
fabricante,4.0,0.0008405127127547804
sciences,4.0,0.0008405127127547804
fundação,4.0,0.0008405127127547804
oswaldo,4.0,0.0008405127127547804
cruz,4.0,0.0008405127127547804
